sector;tipo_jornada;periodo;coste_salarial_eur_mes;coste_hora_efectiva_eur;anio;trimestre
Información y comunicaciones;Ambas jornadas;2019T3;2884.07;21.96;2019;3
Información y comunicaciones;Ambas jornadas;2019T4;3135.52;22.05;2019;4
Información y comunicaciones;Ambas jornadas;2020T1;2976.73;20.07;2020;1
Información y comunicaciones;Ambas jornadas;2020T2;2884.56;20.94;2020;2
Información y comunicaciones;Ambas jornadas;2020T3;2872.13;22.38;2020;3
Información y comunicaciones;Ambas jornadas;2020T4;3158.69;22.5;2020;4
Información y comunicaciones;Ambas jornadas;2021T1;3132.59;21.27;2021;1
Información y comunicaciones;Ambas jornadas;2021T2;3111.74;21.32;2021;2
Información y comunicaciones;Ambas jornadas;2021T3;3045.98;23.22;2021;3
Información y comunicaciones;Ambas jornadas;2021T4;3361.33;23.65;2021;4
Información y comunicaciones;Ambas jornadas;2022T1;3132.44;20.76;2022;1
Información y comunicaciones;Ambas jornadas;2022T2;3187.06;21.61;2022;2
Información y comunicaciones;Ambas jornadas;2022T3;3059.01;23.23;2022;3
Información y comunicaciones;Ambas jornadas;2022T4;3317.78;23.38;2022;4
Información y comunicaciones;Ambas jornadas;2023T1;3355.1;22.13;2023;1
Información y comunicaciones;Ambas jornadas;2023T2;3267.94;22.4;2023;2
Información y comunicaciones;Ambas jornadas;2023T3;3327.73;25.18;2023;3
Información y comunicaciones;Ambas jornadas;2023T4;3539.91;25.46;2023;4
Información y comunicaciones;Ambas jornadas;2024T1;3607.79;24.58;2024;1
Información y comunicaciones;Ambas jornadas;2024T2;3489.78;23.47;2024;2
Información y comunicaciones;Ambas jornadas;2024T3;3483.94;26.63;2024;3
Información y comunicaciones;Ambas jornadas;2024T4;3680.25;26.05;2024;4
Información y comunicaciones;Ambas jornadas;2025T1;3832.05;25.59;2025;1
Información y comunicaciones;Ambas jornadas;2025T2;3593.18;24.68;2025;2
Información y comunicaciones;Ambas jornadas;2025T3;3684.9;27.83;2025;3
Información y comunicaciones;Ambas jornadas;2025T4;3870.23;27.16;2025;4
Información y comunicaciones;Ambas jornadas;2026T1;3961.96;26.66;2026;1
Información y comunicaciones;Jornada a tiempo completo;2008T1;2714.75;17.83;2008;1
Información y comunicaciones;Jornada a tiempo completo;2008T2;2737.43;17.67;2008;2
Información y comunicaciones;Jornada a tiempo completo;2008T3;2546.98;19.81;2008;3
Información y comunicaciones;Jornada a tiempo completo;2008T4;2858.01;18.92;2008;4
Información y comunicaciones;Jornada a tiempo completo;2009T1;2737.39;17.79;2009;1
Información y comunicaciones;Jornada a tiempo completo;2009T2;2729.8;18.36;2009;2
Información y comunicaciones;Jornada a tiempo completo;2009T3;2667.88;20.61;2009;3
Información y comunicaciones;Jornada a tiempo completo;2009T4;2914.95;19.61;2009;4
Información y comunicaciones;Jornada a tiempo completo;2010T1;2813.17;18.32;2010;1
Información y comunicaciones;Jornada a tiempo completo;2010T2;2786.97;18.5;2010;2
Información y comunicaciones;Jornada a tiempo completo;2010T3;2729.13;20.42;2010;3
Información y comunicaciones;Jornada a tiempo completo;2010T4;2977.89;20.25;2010;4
Información y comunicaciones;Jornada a tiempo completo;2011T1;2899.74;18.54;2011;1
Información y comunicaciones;Jornada a tiempo completo;2011T2;2777.99;18.48;2011;2
Información y comunicaciones;Jornada a tiempo completo;2011T3;2782.44;21.27;2011;3
Información y comunicaciones;Jornada a tiempo completo;2011T4;3011.29;20.54;2011;4
Información y comunicaciones;Jornada a tiempo completo;2012T1;2874.64;18.45;2012;1
Información y comunicaciones;Jornada a tiempo completo;2012T2;2885.14;19.27;2012;2
Información y comunicaciones;Jornada a tiempo completo;2012T3;2809.24;21.11;2012;3
Información y comunicaciones;Jornada a tiempo completo;2012T4;2978.61;20.28;2012;4
Información y comunicaciones;Jornada a tiempo completo;2013T1;2874.56;19.03;2013;1
Información y comunicaciones;Jornada a tiempo completo;2013T2;2965.02;19.12;2013;2
Información y comunicaciones;Jornada a tiempo completo;2013T3;2853.25;21.27;2013;3
Información y comunicaciones;Jornada a tiempo completo;2013T4;3007.5;20.39;2013;4
Información y comunicaciones;Jornada a tiempo completo;2014T1;2932.15;18.71;2014;1
Información y comunicaciones;Jornada a tiempo completo;2014T2;2955.42;19.8;2014;2
Información y comunicaciones;Jornada a tiempo completo;2014T3;2845.53;21.61;2014;3
Información y comunicaciones;Jornada a tiempo completo;2014T4;3050.01;20.12;2014;4
Información y comunicaciones;Jornada a tiempo completo;2015T1;3012.08;19.38;2015;1
Información y comunicaciones;Jornada a tiempo completo;2015T2;2861.81;18.93;2015;2
Información y comunicaciones;Jornada a tiempo completo;2015T3;2850.19;21.36;2015;3
Información y comunicaciones;Jornada a tiempo completo;2015T4;3094.46;20.66;2015;4
Información y comunicaciones;Jornada a tiempo completo;2016T1;2983.45;19.83;2016;1
Información y comunicaciones;Jornada a tiempo completo;2016T2;2869.32;18.11;2016;2
Información y comunicaciones;Jornada a tiempo completo;2016T3;2838.76;21.5;2016;3
Información y comunicaciones;Jornada a tiempo completo;2016T4;3006.78;20.63;2016;4
Información y comunicaciones;Jornada a tiempo completo;2017T1;2851.72;18.12;2017;1
Información y comunicaciones;Jornada a tiempo completo;2017T2;2829.58;18.69;2017;2
Información y comunicaciones;Jornada a tiempo completo;2017T3;2819.29;21.22;2017;3
Información y comunicaciones;Jornada a tiempo completo;2017T4;3085.64;21.5;2017;4
Información y comunicaciones;Jornada a tiempo completo;2018T1;3021.7;19.87;2018;1
Información y comunicaciones;Jornada a tiempo completo;2018T2;2953.65;19.03;2018;2
Información y comunicaciones;Jornada a tiempo completo;2018T3;2973.44;22.14;2018;3
Información y comunicaciones;Jornada a tiempo completo;2018T4;3236.57;22.22;2018;4
Información y comunicaciones;Jornada a tiempo completo;2019T1;2998.37;19.34;2019;1
Información y comunicaciones;Jornada a tiempo completo;2019T2;3046.68;20.39;2019;2
Información y comunicaciones;Jornada a tiempo completo;2019T3;3053.31;22.52;2019;3
Información y comunicaciones;Jornada a tiempo completo;2019T4;3325.49;22.55;2019;4
Información y comunicaciones;Jornada a tiempo completo;2020T1;3147.6;20.49;2020;1
Información y comunicaciones;Jornada a tiempo completo;2020T2;3038.12;21.25;2020;2
Información y comunicaciones;Jornada a tiempo completo;2020T3;3014.58;22.8;2020;3
Información y comunicaciones;Jornada a tiempo completo;2020T4;3327.4;22.93;2020;4
Información y comunicaciones;Jornada a tiempo completo;2021T1;3290.46;21.65;2021;1
Información y comunicaciones;Jornada a tiempo completo;2021T2;3263.04;21.7;2021;2
Información y comunicaciones;Jornada a tiempo completo;2021T3;3183.98;23.68;2021;3
