sector;tipo_jornada;unidad;periodo;valor
Total nacional;Jornada a tiempo completo;Valor absoluto;2025T4;19373.6
Total nacional;Jornada a tiempo completo;Valor absoluto;2025T3;19489.3
Total nacional;Jornada a tiempo completo;Valor absoluto;2025T2;19174.8
Total nacional;Jornada a tiempo completo;Valor absoluto;2025T1;18689.5
Total nacional;Jornada a tiempo completo;Valor absoluto;2024T4;18798.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2024T3;19029.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2024T2;18742.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2024T1;18308.5
Total nacional;Jornada a tiempo completo;Valor absoluto;2023T4;18508.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2023T3;18756.7
Total nacional;Jornada a tiempo completo;Valor absoluto;2023T2;18382.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2023T1;17807.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2022T4;17835.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2022T3;18081.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2022T2;17768.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2022T1;17364.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2021T4;17527.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2021T3;17399.6
Total nacional;Jornada a tiempo completo;Valor absoluto;2021T2;16871.0
Total nacional;Jornada a tiempo completo;Valor absoluto;2021T1;16531.7
Total nacional;Jornada a tiempo completo;Valor absoluto;2020T4;16545.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2020T3;16522.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2020T2;16121.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2020T1;16833.0
Total nacional;Jornada a tiempo completo;Valor absoluto;2019T4;17022.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2019T3;17085.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2019T2;16853.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2019T1;16570.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2018T4;16669.8
Total nacional;Jornada a tiempo completo;Valor absoluto;2018T3;16814.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2018T2;16444.3
Total nacional;Jornada a tiempo completo;Valor absoluto;2018T1;16059.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2017T4;16193.0
Total nacional;Jornada a tiempo completo;Valor absoluto;2017T3;16323.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2017T2;15943.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2017T1;15564.0
Total nacional;Jornada a tiempo completo;Valor absoluto;2016T4;15675.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2016T3;15830.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2016T2;15499.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2016T1;15198.8
Total nacional;Jornada a tiempo completo;Valor absoluto;2015T4;15250.5
Total nacional;Jornada a tiempo completo;Valor absoluto;2015T3;15298.3
Total nacional;Jornada a tiempo completo;Valor absoluto;2015T2;15048.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2015T1;14618.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2014T4;14748.7
Total nacional;Jornada a tiempo completo;Valor absoluto;2014T3;14879.6
Total nacional;Jornada a tiempo completo;Valor absoluto;2014T2;14508.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2014T1;14204.5
Total nacional;Jornada a tiempo completo;Valor absoluto;2013T4;14381.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2013T3;14616.3
Total nacional;Jornada a tiempo completo;Valor absoluto;2013T2;14389.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2013T1;14339.8
Total nacional;Jornada a tiempo completo;Valor absoluto;2012T4;14723.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2012T3;15172.3
Total nacional;Jornada a tiempo completo;Valor absoluto;2012T2;15152.5
Total nacional;Jornada a tiempo completo;Valor absoluto;2012T1;15263.7
Total nacional;Jornada a tiempo completo;Valor absoluto;2011T4;15700.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2011T3;16089.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2011T2;16035.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2011T1;15868.3
Total nacional;Jornada a tiempo completo;Valor absoluto;2010T4;16208.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2010T3;16457.7
Total nacional;Jornada a tiempo completo;Valor absoluto;2010T2;16268.6
Total nacional;Jornada a tiempo completo;Valor absoluto;2010T1;16210.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2009T4;16433.1
Total nacional;Jornada a tiempo completo;Valor absoluto;2009T3;16798.0
Total nacional;Jornada a tiempo completo;Valor absoluto;2009T2;16728.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2009T1;16880.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2008T4;17595.9
Total nacional;Jornada a tiempo completo;Valor absoluto;2008T3;18257.7
Total nacional;Jornada a tiempo completo;Valor absoluto;2008T2;18215.2
Total nacional;Jornada a tiempo completo;Valor absoluto;2008T1;18185.8
Total nacional;Jornada a tiempo completo;Porcentaje;2026T2;86.3
Total nacional;Jornada a tiempo completo;Porcentaje;2026T1;86.4
Total nacional;Jornada a tiempo completo;Porcentaje;2025T4;86.2
Total nacional;Jornada a tiempo completo;Porcentaje;2025T3;87.1
Total nacional;Jornada a tiempo completo;Porcentaje;2025T2;86.1
Total nacional;Jornada a tiempo completo;Porcentaje;2025T1;85.9
Total nacional;Jornada a tiempo completo;Porcentaje;2024T4;86.0
Total nacional;Jornada a tiempo completo;Porcentaje;2024T3;87.2
