tipo_jornada,codigo_cnae,descripcion_cnae,componente_coste,anio,trimestre,periodo,coste_hora_efectiva_eur
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2014,T2,2014-T2,14.71
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2014,T1,2014-T1,13.39
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2013,T4,2013-T4,15.48
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2013,T3,2013-T3,14.86
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2013,T2,2013-T2,14.19
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2013,T1,2013-T1,13.63
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2012,T4,2012-T4,15.14
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2012,T3,2012-T3,14.85
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2012,T2,2012-T2,14.57
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2012,T1,2012-T1,13.39
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2011,T4,2011-T4,15.56
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2011,T3,2011-T3,14.81
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2011,T2,2011-T2,14.42
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2011,T1,2011-T1,13.19
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2010,T4,2010-T4,15.22
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2010,T3,2010-T3,14.17
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2010,T2,2010-T2,14.24
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2010,T1,2010-T1,13.17
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2009,T4,2009-T4,15.02
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2009,T3,2009-T3,14.3
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2009,T2,2009-T2,14.04
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2009,T1,2009-T1,12.8
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2008,T4,2008-T4,14.27
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2008,T3,2008-T3,13.76
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2008,T2,2008-T2,12.79
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial total por hora,2008,T1,2008-T1,12.5
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2026,T1,2026-T1,15.93
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2025,T4,2025-T4,16.31
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2025,T3,2025-T3,17.12
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2025,T2,2025-T2,15.66
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2025,T1,2025-T1,15.3
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2024,T4,2024-T4,15.81
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2024,T3,2024-T3,16.66
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2024,T2,2024-T2,14.84
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2024,T1,2024-T1,15.0
Ambas jornadas,B_S,"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",Coste salarial ordinario por hora,2023,T4,2023-T4,15.34
